study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	experiment_title	study_title	run_alias	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias	broker_name	sample_title
PRJEB28687	SAMEA4970116	ERS2788330	ERX2843388	ERR2836537	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:452-172	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836537/ERR2836537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836537/ERR2836537_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836537/ERR2836537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836537/ERR2836537_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836537/CS.186.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836537/CS.186.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836537/CS.186.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836537/CS.186.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/007/ERR2836537	ftp.sra.ebi.ac.uk/vol1/err/ERR283/007/ERR2836537			CS.186		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970115	ERS2788329	ERX2843389	ERR2836538	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:452-173	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836538/ERR2836538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836538/ERR2836538_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836538/ERR2836538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836538/ERR2836538_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836538/CS.187.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836538/CS.187.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836538/CS.187.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836538/CS.187.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/008/ERR2836538	ftp.sra.ebi.ac.uk/vol1/err/ERR283/008/ERR2836538			CS.187		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970278	ERS2788492	ERX2843390	ERR2836539	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:452-174	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836539/ERR2836539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836539/ERR2836539_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836539/ERR2836539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836539/ERR2836539_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836539/CS.188.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836539/CS.188.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836539/CS.188.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836539/CS.188.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/009/ERR2836539	ftp.sra.ebi.ac.uk/vol1/err/ERR283/009/ERR2836539			CS.188		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970114	ERS2788328	ERX2843391	ERR2836540	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-175	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836540/ERR2836540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836540/ERR2836540_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836540/ERR2836540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836540/ERR2836540_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836540/CS.189.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836540/CS.189.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836540/CS.189.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836540/CS.189.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/000/ERR2836540	ftp.sra.ebi.ac.uk/vol1/err/ERR283/000/ERR2836540			CS.189		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970277	ERS2788491	ERX2843392	ERR2836541	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-176	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836541/ERR2836541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836541/ERR2836541_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836541/ERR2836541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836541/ERR2836541_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836541/CS.190.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836541/CS.190.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836541/CS.190.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836541/CS.190.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/001/ERR2836541	ftp.sra.ebi.ac.uk/vol1/err/ERR283/001/ERR2836541			CS.190		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970276	ERS2788490	ERX2843393	ERR2836542	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-177	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836542/ERR2836542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836542/ERR2836542_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836542/ERR2836542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836542/ERR2836542_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836542/CS.191.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836542/CS.191.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836542/CS.191.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836542/CS.191.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/002/ERR2836542	ftp.sra.ebi.ac.uk/vol1/err/ERR283/002/ERR2836542			CS.191		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970275	ERS2788489	ERX2843394	ERR2836543	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-178	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836543/ERR2836543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836543/ERR2836543_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836543/ERR2836543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836543/ERR2836543_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836543/CS.193.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836543/CS.193.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836543/CS.193.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836543/CS.193.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/003/ERR2836543	ftp.sra.ebi.ac.uk/vol1/err/ERR283/003/ERR2836543			CS.193		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970274	ERS2788488	ERX2843395	ERR2836544	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-179	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836544/ERR2836544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836544/ERR2836544_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836544/ERR2836544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836544/ERR2836544_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836544/CS.194.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836544/CS.194.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836544/CS.194.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836544/CS.194.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/004/ERR2836544	ftp.sra.ebi.ac.uk/vol1/err/ERR283/004/ERR2836544			CS.194		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970113	ERS2788327	ERX2843396	ERR2836545	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-180	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836545/ERR2836545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836545/ERR2836545_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836545/ERR2836545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836545/ERR2836545_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836545/CS.195.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836545/CS.195.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836545/CS.195.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836545/CS.195.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/005/ERR2836545	ftp.sra.ebi.ac.uk/vol1/err/ERR283/005/ERR2836545			CS.195		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970273	ERS2788487	ERX2843397	ERR2836546	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-181	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836546/ERR2836546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836546/ERR2836546_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836546/ERR2836546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836546/ERR2836546_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836546/CS.196.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836546/CS.196.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836546/CS.196.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836546/CS.196.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/006/ERR2836546	ftp.sra.ebi.ac.uk/vol1/err/ERR283/006/ERR2836546			CS.196		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970272	ERS2788486	ERX2843398	ERR2836547	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-182	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836547/ERR2836547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836547/ERR2836547_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836547/ERR2836547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836547/ERR2836547_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836547/CS.198.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836547/CS.198.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836547/CS.198.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836547/CS.198.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/007/ERR2836547	ftp.sra.ebi.ac.uk/vol1/err/ERR283/007/ERR2836547			CS.198		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970322	ERS2788536	ERX2843399	ERR2836548	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-183	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836548/ERR2836548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836548/ERR2836548_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836548/ERR2836548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836548/ERR2836548_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836548/CS.199.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836548/CS.199.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836548/CS.199.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836548/CS.199.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/008/ERR2836548	ftp.sra.ebi.ac.uk/vol1/err/ERR283/008/ERR2836548			CS.199		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970321	ERS2788535	ERX2843400	ERR2836549	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-184	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836549/ERR2836549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836549/ERR2836549_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836549/ERR2836549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836549/ERR2836549_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836549/CS.200.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836549/CS.200.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836549/CS.200.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836549/CS.200.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/009/ERR2836549	ftp.sra.ebi.ac.uk/vol1/err/ERR283/009/ERR2836549			CS.200		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970112	ERS2788326	ERX2843401	ERR2836550	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-185	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836550/ERR2836550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836550/ERR2836550_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836550/ERR2836550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836550/ERR2836550_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836550/CS.202.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836550/CS.202.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836550/CS.202.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836550/CS.202.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/000/ERR2836550	ftp.sra.ebi.ac.uk/vol1/err/ERR283/000/ERR2836550			CS.202		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970271	ERS2788485	ERX2843402	ERR2836551	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-186	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836551/ERR2836551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836551/ERR2836551_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836551/ERR2836551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836551/ERR2836551_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836551/CS.203.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836551/CS.203.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836551/CS.203.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836551/CS.203.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/001/ERR2836551	ftp.sra.ebi.ac.uk/vol1/err/ERR283/001/ERR2836551			CS.203		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970111	ERS2788325	ERX2843403	ERR2836552	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-187	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836552/ERR2836552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836552/ERR2836552_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836552/ERR2836552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836552/ERR2836552_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836552/CS.204.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836552/CS.204.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836552/CS.204.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836552/CS.204.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/002/ERR2836552	ftp.sra.ebi.ac.uk/vol1/err/ERR283/002/ERR2836552			CS.204		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970270	ERS2788484	ERX2843404	ERR2836553	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-188	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836553/ERR2836553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836553/ERR2836553_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836553/ERR2836553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836553/ERR2836553_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836553/CS.205.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836553/CS.205.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836553/CS.205.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836553/CS.205.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/003/ERR2836553	ftp.sra.ebi.ac.uk/vol1/err/ERR283/003/ERR2836553			CS.205		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970110	ERS2788324	ERX2843405	ERR2836554	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-189	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836554/ERR2836554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836554/ERR2836554_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836554/ERR2836554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836554/ERR2836554_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836554/CS.206.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836554/CS.206.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836554/CS.206.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836554/CS.206.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/004/ERR2836554	ftp.sra.ebi.ac.uk/vol1/err/ERR283/004/ERR2836554			CS.206		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970109	ERS2788323	ERX2843406	ERR2836555	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-190	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836555/ERR2836555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836555/ERR2836555_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836555/ERR2836555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836555/ERR2836555_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836555/CS.207.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836555/CS.207.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836555/CS.207.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836555/CS.207.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/005/ERR2836555	ftp.sra.ebi.ac.uk/vol1/err/ERR283/005/ERR2836555			CS.207		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970108	ERS2788322	ERX2843407	ERR2836556	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:453-191	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836556/ERR2836556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836556/ERR2836556_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836556/ERR2836556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836556/ERR2836556_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836556/CS.208.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836556/CS.208.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836556/CS.208.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836556/CS.208.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/006/ERR2836556	ftp.sra.ebi.ac.uk/vol1/err/ERR283/006/ERR2836556			CS.208		Immigrant Microbiome Project, 16s
